"","StudentID","thesis_grades"
"622",16983449,7.5
"623",16983497,0
"624",16983602,0
"625",16983692,0
"626",16983869,7.5
"627",16983935,7
"628",16983959,7
"629",16984226,9
"630",16984355,9
"631",16984427,9
"632",16984517,0
"633",16984598,7
"634",16984913,7.5
"635",16985042,8
"636",16985204,8
"637",16985285,7
"638",16985333,8
"639",16985423,8.5
"640",16985552,8
"641",16985600,8
"642",16985681,7
"643",16985714,7
"644",16985795,7
"645",16985948,9
"646",16985996,8
"647",16986098,7
"648",16986146,7
"649",16986251,7
"650",16986365,7
"651",16986566,0
"652",16986680,7.5
"653",16986809,8
"654",16986857,7.5
"655",16987100,7
"656",16987214,7
"657",16987295,8
"658",16987343,15.5
"659",16987496,6.5
"660",16987562,7
"661",16987610,7.5
"662",16987691,8
"663",16987787,8
"664",16987853,8.5
"665",16987958,7
"666",16988006,7
"667",16988054,8
"668",16988201,8.5
"669",16988249,7
"670",16988297,8
"671",16988540,8
"672",16988621,8.5
"673",16988735,6.5
"674",16988888,7.5
"675",16988936,8
"676",16989062,8
"677",16989134,7.5
"678",16989215,7.5
"679",16989287,9
"680",16989329,7
"681",16989377,7
"682",16989530,8.5
"683",16989611,6
"684",16989902,6.5
"685",16990235,7.5
"686",16990388,0
"687",16990436,6
"688",16990574,7.5
"689",16990655,8.5
"690",16990703,0
"691",16990808,8
"692",16990946,8
"693",16990994,6.5
"694",16991237,8.5
"695",16991456,6.5
"696",16991504,9
"697",16991609,7.5
"698",16991657,8
"699",16991747,7.5
"700",16991852,7
"701",16992050,8.5
"702",16992131,0
"703",16992203,8.5
"704",16992308,8.5
"705",16992398,7.5
"706",16992689,7.5
"707",16992737,7.5
"708",16992842,8.5
"709",16992932,8.5
"710",16992980,0
"711",16993109,8.5
"712",16993157,8
"713",16993223,0
"714",16993247,8
"715",16993328,7
"716",16993352,7
"717",16993376,0
"718",16993400,7.5
"719",16993505,7
"720",16993595,8.5
"721",16993667,0
"722",16993796,10
"723",16993862,8
"724",16993886,7.5
"725",16993910,5.5
"726",16993991,8
"727",16994039,7.5
"728",16994063,7.5
"729",16994087,6
"730",16994129,6
"731",16994153,7
"732",16994258,7
"733",16994354,9.5
"734",16994420,7
"735",16994444,8.5
"736",16994501,8.5
"737",16994525,7.5
"738",16994549,7.5
"739",16994573,8
"740",16994597,9
"741",16994702,6.5
"742",16994768,8.5
"743",16994792,0
"744",16994816,7
"745",16994840,7.5
"746",16994864,7
"747",16994993,9
"748",16995071,8
"749",16995095,8
"750",16995119,8.5
"751",16995143,7
"752",16995248,6
"753",16995272,0
"754",16995296,8.5
"755",16995362,7.5
"756",16995410,7.5
"757",16995491,9
"758",16995515,7.5
"759",16995539,9
"760",16995563,8
"761",16995587,7
"762",16995629,7
"763",17006171,8
"764",17008625,9
"765",17014268,7
"766",17015027,8
"767",17017628,8.5
"768",17017652,7
"769",17017700,7
"770",17017814,8
"771",17017871,7
"772",17017919,7.5
"773",17017943,8
"774",17018363,0
"775",17021327,8.5
"776",17023976,7.5
"777",17024195,8.5
"778",17030033,0
"779",17032463,8
