"StudentID","thesis_grades"
17676455,0
17678897,8
17682560,8
17684639,0
17695088,8.5
17701337,0
17726885,7.5
17727608,0
17728232,0
17781449,0
17784275,0
17787329,0
17790452,9
17794904,0
17799230,6.5
17799311,7.5
17799320,0
17802341,8
17804201,8.5
17821829,8
17826179,0
17827667,8
17828792,9
17839952,7.5
17840000,8
17844926,0
17867102,8.5
17872715,7.5
17874263,7
17874644,8
17874725,6
17874749,7.5
17874878,9
17874902,7.5
17875169,7.5
17875259,8.5
17875283,7
17875388,7
17875412,8
17875631,8
17875655,6.5
17875703,8
17875898,7.5
17875946,7.5
17875970,8
17875994,8.5
17876051,8
17876165,7.5
17876189,6
17876213,7
17876237,7.5
17876456,13.5
17876504,9
17876585,8
17876723,7
17876828,7
17876876,7
17877005,7.5
17877050,6
17877131,6.5
17877179,7
17877227,8.5
17877317,7
17877422,7
17877470,7
17877551,8
17877599,8.5
17877665,0
17877713,8.5
17877980,7.5
17878061,8
17878109,8.5
17878157,8
17878352,7
17878400,8
17878481,8.5
17878505,7.5
17878595,8
17878643,7
17878748,0
17878991,8
17879039,7
17879153,8
17879354,7.5
17879597,7.5
17879702,7.5
17879969,7.5
17880101,7
17880125,7
17880173,7.5
17880302,7.5
17880392,0
17880416,7.5
17880440,7
17880464,7
17880545,0
17880569,0
17880635,6
17880707,8
17880812,7.5
17880836,7
17880860,7.5
17880884,6
17880926,8
17880950,6.5
17881079,6
17881127,8
17881217,7.5
17881298,0
17881322,8.5
17881346,7.5
17881394,7.5
17881499,7.5
17881565,8
17881589,7.5
17881718,7.5
17881742,10
17881766,7.5
17881790,8
17881832,7.5
17882009,8.5
17882252,7
17882300,7.5
17882324,8
17882381,6.5
17882405,7.5
17882414,5
17882495,8.5
17882519,8
17882567,7
17882696,7
17882762,7.5
17882786,6.5
17882939,6.5
17882963,0
17883137,7.5
17883266,7.5
17883290,9.5
17883485,7
17883533,8
17883623,7
17883647,7
17883728,7.5
17883752,8
17883776,7.5
17883800,7.5
17883881,8
17883995,0
17884019,16
17884043,7
17884067,8
17884262,8
17884334,7
17884391,8
17884439,7.5
17884682,0
17884706,8
17884730,8.5
17884811,8.5
17884901,7.5
17884925,7
17884997,8
17885078,0
17885102,7
17885192,7
17885216,7.5
17885240,8
17885264,0
17885345,9
17885369,8
17885588,7
17885612,7
17885660,7.5
17885726,8
17885750,8.5
17885774,8
17885831,8
17885879,7.5
17885903,7.5
17885927,8
17886029,7.5
17886053,9
17886311,7.5
17886320,7
17886401,8
17886425,7.5
17886449,8.5
17886497,7
17886578,7.5
17886602,8
17886668,7.5
17886716,0
17886740,0
17886764,6.5
17886869,8
17886935,0
17886959,8
17886983,7
17887007,7.5
17887088,8.5
17887112,7
17887136,7.5
17887160,7
17887226,8
