ID,Faculteitscode,Organisatieomschrijving,Loopbaan,Career Nbr,Acad Prog,Studieprogrammaomschrijving,Acad Plan,Studieplanomschrijving,Soort studieplan,Acad Load,Sub-Plan,Subplanomschrijving,Ingangsdatum subplan,Status
17101292,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/02/2013,Active in Program
17101292,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2011,Active in Program
17101292,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2013,Active in Program
17101292,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/02/2013,Active in Program
17101292,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/09/2011,Active in Program
17105825,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,,,,Active in Program
17105825,2532S001,Graduate School of Psychology,15,0,4098,M Psychology (res),409825,M Psychology (res),Alg. Mast.,Full-time,,,,Active in Program
17105849,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972509,General Psychology,30/04/2014,Active in Program
17105849,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972509,General Psychology,01/04/2011,Active in Program
17117648,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,30/11/2012,Active in Program
17117648,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2010,Active in Program
17118623,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,,,,Active in Program
17147876,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409726,VO Psychologie,Vrij ondw.,Full-time,,,,Active in Program
17170202,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/08/2013,Active in Program
